id,prime_name,synonym_1,synonym_1_code,synonym_2,synonym_2_code,synonym_3,synonym_3_code,synonym_4,synonym_4_code,code
184,Scheurebe,,,,,,,,,SCH
185,Schioppettino,,,,,,,,,SBT
186,Schönburger,Schoenburger,SCO,Schonburger,SCB,,,,,SCO
187,Semillon,,,,,,,,,SEM
188,Sercial,,,,,,,,,SER
189,Shiraz,Syrah,SYR,,,,,,,SHZ
190,Siegerrebe,,,,,,,,,SIE
191,Souzao,Sousao,SOS,Vinhao,VHO,,,,,SOU
192,St Laurent,,,,,,,,,STL
193,Sultana,Sultanina,SUA,Thompson Seedless,THS,,,,,SUL
194,Summer Muscat,,,,,,,,,MUS
195,Sumoll,,,,,,,,,SUM
196,Sun Muscat,,,,,,,,,MSU
197,Sylvaner,Silvaner,SIL,,,,,,,SYL
198,Symphony,,,,,,,,,SYM
199,Syrian,,,,,,,,,SYN
200,Taminga,,,,,,,,,TAM
201,Tannat,,,,,,,,,TAN
202,Tarrango,,,,,,,,,TAR
203,Tempranillo,Aragonez,ARG,Tinta Roriz,TRR,,,,,TMP
204,Teroldego,,,,,,,,,TER
205,Terret Noir,,,,,,,,,TRN
206,Tinta Amarela,Trincadeira,TRI,Trincadeira Preta,TRP,Tinta Amarelha,TTA,,,TNA
207,Tinta Barroca,Tinta Barocca,TNB,,,,,,,TNB
208,Tinta Francisca,,,,,,,,,TNF
209,Tinta Negra Mole,Tinta Negra,TNN,Negramoll,NEG,,,,,TNM
210,Tintilia,,,,,,,,,TIN
211,Tinto Câo,Tinta Câo,TCA,,,,,,,TNC
212,Torrontes,,,,,,,,,TRR
213,Touriga Franca,Touriga Francesa,TRF,,,,,,,TRF
214,Touriga,Touriga Nacional,TON,,,,,,,TOU
215,Trebbiano,Ugni Blanc,UBL,,,,,,,TRB
216,Trollinger,,,,,,,,,TRL
217,Trousseau,,,,,,,,,TRU
218,Tulillah,,,,,,,,,TUL
219,Tyrian,,,,,,,,,TYR
220,Vaccarese,Brun Argente,BRU,,,,,,,VAC
221,Valdiguié,,,,,,,,,VAL
222,Verdejo,,,,,,,,,VED
223,Verdelho,,,,,,,,,VER
224,Verdicchio Bianco,,,,,,,,,VRB
225,Verduzzo,,,,,,,,,VDZ
226,Vermentino,Rolle,RLL,,,,,,,VRM
227,Vernaccia,,,,,,,,,VRN
228,Villard Blanc,,,,,,,,,VLB
229,Viognier,,,,,,,,,VIO
230,Viosinho,,,,,,,,,VIS
231,Xarello,,,,,,,,,XAR
232,Zinfandel,Primitivo,PRM,Tribidrag,TBI,,,,,ZIN
233,Zweigelt,Zweigeltrebe,ZWG,,,,,,,ZWE
